id_venda;data;cliente;produto;categoria;quantidade;valor_unitario;cidade;estado;forma_pagamento;valor_total
18;2026-01-05T07:13:00;Bruna Fernandes;Monitor Gamer 27 165Hz;Informática;10;1350.0;Londrina;PR;Boleto Bancário;13500.0
19;2026-01-05T08:35:00;Beatriz Rodrigues;Placa-Mãe MSI Gaming;Informática;8;890.0;Ibiporã;PR;Boleto Bancário;7120.0
20;2026-01-05T11:19:00;João Pereira;Impressora Tanque Tinta;Informática;2;1100.0;Cambé;PR;Pix;2200.0
21;2026-01-05T11:21:00;Mateus Vieira;HD Externo 2TB;Informática;4;449.0;Arapongas;PR;Pix;1796.0
22;2026-01-05T11:50:00;Letícia Souza;Mouse Gamer RGB;Informática;6;149.9;Cambé;PR;Boleto Bancário;899.4
23;2026-01-05T20:32:00;Leonardo Alves;Memória RAM 32GB DDR5;Informática;8;750.0;Apucarana;PR;Boleto Bancário;6000.0
24;2026-01-06T01:50:00;Mateus Pereira;Suporte Articulado;Informática;1;150.0;Londrina;PR;Boleto Bancário;150.0
25;2026-01-06T12:55:00;Larissa Fernandes;Monitor 21.5 IPS;Informática;2;599.0;Maringá;PR;Pix;1198.0
26;2026-01-06T18:24:00;Felipe Pereira;Monitor 21.5 IPS;Informática;7;599.0;Maringá;PR;Boleto Bancário;4193.0
27;2026-01-06T21:52:00;João Santos;Memória RAM 32GB DDR5;Informática;5;750.0;Maringá;PR;Pix;3750.0
28;2026-01-07T01:15:00;Larissa Oliveira;Placa-Mãe MSI Gaming;Informática;6;890.0;Apucarana;PR;Cartão de Crédito;5340.0
29;2026-01-07T02:22:00;Gustavo Martins;Headset Gamer;Informática;11;199.9;Maringá;PR;Cartão de Crédito;2198.9
30;2026-01-07T02:41:00;Vitor Barbosa;Caixa de Som PC;Informática;5;120.0;Ibiporã;PR;Boleto Bancário;600.0
31;2026-01-07T04:00:00;Larissa Almeida;Suporte Articulado;Informática;7;150.0;Ibiporã;PR;Cartão de Crédito;1050.0
32;2026-01-07T15:06:00;Rodrigo Fernandes;Scanner de Mesa;Informática;1;650.0;Maringá;PR;Pix;650.0
33;2026-01-07T19:30:00;Enzo Vieira;Placa-Mãe ASUS Prime;Informática;10;780.0;Maringá;PR;Boleto Bancário;7800.0
34;2026-01-07T19:59:00;Arthur Lopes;Mini PC Intel;Informática;1;1250.0;Londrina;PR;Boleto Bancário;1250.0
35;2026-01-07T23:11:00;Gabriel Fernandes;Teclado Mecânico;Informática;7;249.9;Ibiporã;PR;Cartão de Crédito;1749.3
36;2026-01-08T01:30:00;Lucas Martins;Monitor Gamer 24 144Hz;Informática;4;980.0;Arapongas;PR;Cartão de Crédito;3920.0
37;2026-01-08T02:02:00;Julia Gomes;Nobreak 1500VA;Informática;2;799.0;Apucarana;PR;Pix;1598.0
38;2026-01-08T02:47:00;Felipe Costa;Mouse Sem Fio;Informática;7;89.9;Maringá;PR;Boleto Bancário;629.3
39;2026-01-08T10:59:00;Thiago Rodrigues;Mini PC Intel;Informática;2;1250.0;Cambé;PR;Boleto Bancário;2500.0
40;2026-01-08T12:21:00;Letícia Santos;Processador Intel i7;Informática;11;1950.0;Maringá;PR;Pix;21450.0
41;2026-01-08T15:56:00;Letícia Ferreira;Teclado de Membrana;Informática;4;79.9;Ibiporã;PR;Boleto Bancário;319.6
42;2026-01-09T02:25:00;Guilherme Martins;SSD 500GB NVMe;Informática;10;260.0;Ibiporã;PR;Pix;2600.0
43;2026-01-09T05:59:00;Bruna Martins;HD Externo 2TB;Informática;2;449.0;Maringá;PR;Cartão de Crédito;898.0
44;2026-01-09T14:38:00;Mateus Alves;Cabo de Rede CAT6 5m;Informática;7;25.0;Apucarana;PR;Pix;175.0
45;2026-01-09T19:09:00;Felipe Costa;Mouse Gamer RGB;Informática;4;149.9;Apucarana;PR;Boleto Bancário;599.6
46;2026-01-10T05:26:00;João Ferreira;Placa-Mãe MSI Gaming;Informática;9;890.0;Cambé;PR;Boleto Bancário;8010.0
47;2026-01-10T09:58:00;Mateus Fernandes;Nobreak 1500VA;Informática;5;799.0;Ibiporã;PR;Cartão de Crédito;3995.0
48;2026-01-10T20:12:00;Enzo Alves;Tablet Android 10;Informática;4;899.0;Cambé;PR;Boleto Bancário;3596.0
49;2026-01-11T00:15:00;Letícia Pereira;Monitor Ultrawide 29;Informática;12;1150.0;Arapongas;PR;Pix;13800.0
50;2026-01-11T01:02:00;Vitor Ferreira;Notebook Pro;Informática;4;6200.0;Arapongas;PR;Pix;24800.0
51;2026-01-11T02:12:00;Lucas Santos;Memória RAM 16GB DDR4;Informática;8;320.0;Ibiporã;PR;Boleto Bancário;2560.0
52;2026-01-11T07:13:00;Larissa Silva;Placa-Mãe ASUS Prime;Informática;1;780.0;Apucarana;PR;Pix;780.0
53;2026-01-11T07:45:00;Beatriz Ferreira;Memória RAM 32GB DDR5;Informática;10;750.0;Arapongas;PR;Pix;7500.0
54;2026-01-11T09:50:00;Bruno Rodrigues;Roteador Wi-Fi 6;Informática;3;320.0;Arapongas;PR;Cartão de Crédito;960.0
55;2026-01-11T11:34:00;Diego Silva;Processador AMD Ryzen 7;Informática;2;1780.0;Londrina;PR;Pix;3560.0
56;2026-01-11T13:01:00;Arthur Alves;HD Externo 2TB;Informática;1;449.0;Arapongas;PR;Boleto Bancário;449.0
57;2026-01-11T14:58:00;Vitor Barbosa;Cooler Fan 120mm;Informática;12;45.0;Cambé;PR;Pix;540.0
58;2026-01-11T23:28:00;Daniel Barbosa;Microfone Condensador;Informática;7;340.0;Londrina;PR;Boleto Bancário;2380.0
59;2026-01-11T23:55:00;Gabriel Oliveira;Roteador Wi-Fi 6;Informática;10;320.0;Maringá;PR;Pix;3200.0
60;2026-01-12T01:19:00;Diego Pereira;Placa-Mãe MSI Gaming;Informática;2;890.0;Cambé;PR;Cartão de Crédito;1780.0
61;2026-01-12T01:35:00;Gabriel Oliveira;SSD 500GB NVMe;Informática;6;260.0;Arapongas;PR;Boleto Bancário;1560.0
62;2026-01-12T12:03:00;André Costa;Notebook Gamer;Informática;11;5499.0;Ibiporã;PR;Boleto Bancário;60489.0
63;2026-01-12T12:28:00;Diego Pereira;Placa-Mãe ASUS Prime;Informática;12;780.0;Arapongas;PR;Boleto Bancário;9360.0
64;2026-01-12T13:23:00;Aline Barbosa;Fonte Real 750W;Informática;4;490.0;Londrina;PR;Pix;1960.0
65;2026-01-12T18:41:00;Thiago Costa;Memória RAM 16GB DDR4;Informática;10;320.0;Cambé;PR;Cartão de Crédito;3200.0
66;2026-01-13T07:47:00;Gustavo Martins;Mouse Sem Fio;Informática;12;89.9;Ibiporã;PR;Boleto Bancário;1078.8
67;2026-01-13T11:41:00;Gabriel Fernandes;SSD 2TB NVMe;Informática;1;820.0;Ibiporã;PR;Cartão de Crédito;820.0
68;2026-01-13T19:47:00;Diego Lima;Impressora Tanque Tinta;Informática;3;1100.0;Arapongas;PR;Pix;3300.0
69;2026-01-13T20:21:00;Maria Souza;Monitor 4K 32;Informática;12;2400.0;Apucarana;PR;Cartão de Crédito;28800.0
70;2026-01-14T04:09:00;Gustavo Souza;Headset Gamer;Informática;12;199.9;Apucarana;PR;Boleto Bancário;2398.8
71;2026-01-14T06:17:00;Diego Santos;Memória RAM 16GB DDR4;Informática;1;320.0;Apucarana;PR;Pix;320.0
72;2026-01-14T06:33:00;Diego Alves;Water Cooler 240mm;Informática;2;410.0;Apucarana;PR;Boleto Bancário;820.0
73;2026-01-14T12:32:00;Vitor Barbosa;Adaptador Bluetooth USB;Informática;2;39.9;Arapongas;PR;Pix;79.8
74;2026-01-14T20:41:00;Felipe Alves;Monitor Ultrawide 29;Informática;1;1150.0;Arapongas;PR;Boleto Bancário;1150.0
75;2026-01-15T02:42:00;Mateus Santos;SSD 1TB NVMe;Informática;3;450.0;Apucarana;PR;Cartão de Crédito;1350.0
76;2026-01-15T04:32:00;Lucas Silva;Adaptador Bluetooth USB;Informática;12;39.9;Londrina;PR;Cartão de Crédito;478.8
77;2026-01-15T11:32:00;Pedro Oliveira;Filtro Linha 6 Tomadas;Informática;1;49.9;Londrina;PR;Cartão de Crédito;49.9
78;2026-01-15T14:08:00;Gabriel Martins;Fonte Real 750W;Informática;8;490.0;Apucarana;PR;Pix;3920.0
79;2026-01-15T17:26:00;Thiago Souza;SSD 500GB NVMe;Informática;1;260.0;Cambé;PR;Boleto Bancário;260.0
80;2026-01-15T17:29:00;Larissa Oliveira;Filtro Linha 6 Tomadas;Informática;7;49.9;Maringá;PR;Pix;349.3
81;2026-01-16T14:06:00;Julia Carvalho;Fonte Real 750W;Informática;12;490.0;Apucarana;PR;Pix;5880.0
82;2026-01-16T17:57:00;Aline Santos;Placa-Mãe ASUS Prime;Informática;6;780.0;Londrina;PR;Boleto Bancário;4680.0
83;2026-01-16T18:35:00;Vitor Ferreira;Mini PC Intel;Informática;3;1250.0;Maringá;PR;Boleto Bancário;3750.0
84;2026-01-16T19:40:00;Leonardo Ferreira;Placa de Vídeo RTX 4060;Informática;2;2100.0;Arapongas;PR;Pix;4200.0
85;2026-01-16T19:47:00;Diego Pereira;Cadeira Gamer;Informática;6;990.0;Londrina;PR;Boleto Bancário;5940.0
86;2026-01-16T21:07:00;Diego Lima;Monitor 21.5 IPS;Informática;6;599.0;Maringá;PR;Pix;3594.0
87;2026-01-16T22:08:00;Enzo Alves;Adaptador Bluetooth USB;Informática;12;39.9;Cambé;PR;Cartão de Crédito;478.8
88;2026-01-17T12:31:00;Mateus Santos;Monitor 21.5 IPS;Informática;10;599.0;Arapongas;PR;Cartão de Crédito;5990.0
89;2026-01-17T15:28:00;Vitor Soares;Nobreak 1500VA;Informática;4;799.0;Maringá;PR;Cartão de Crédito;3196.0
90;2026-01-17T17:34:00;Felipe Rodrigues;Webcam Full HD;Informática;4;210.0;Cambé;PR;Pix;840.0
91;2026-01-17T18:06:00;Enzo Oliveira;Notebook Gamer;Informática;1;5499.0;Apucarana;PR;Cartão de Crédito;5499.0
92;2026-01-17T20:52:00;Mateus Carvalho;Suporte Articulado;Informática;7;150.0;Ibiporã;PR;Boleto Bancário;1050.0
93;2026-01-18T03:38:00;Julia Gomes;Mouse Sem Fio;Informática;4;89.9;Cambé;PR;Cartão de Crédito;359.6
94;2026-01-18T07:40:00;Thiago Fernandes;Webcam Full HD;Informática;1;210.0;Maringá;PR;Boleto Bancário;210.0
95;2026-01-18T07:49:00;André Lima;Water Cooler 240mm;Informática;1;410.0;Maringá;PR;Boleto Bancário;410.0
96;2026-01-18T11:15:00;Daniel Barbosa;Webcam Full HD;Informática;6;210.0;Arapongas;PR;Boleto Bancário;1260.0
97;2026-01-18T13:43:00;Bruna Silva;Placa-Mãe MSI Gaming;Informática;2;890.0;Cambé;PR;Cartão de Crédito;1780.0
98;2026-01-18T15:02:00;Ana Gomes;Notebook Gamer;Informática;2;5499.0;Cambé;PR;Boleto Bancário;10998.0
99;2026-01-18T16:34:00;Felipe Lima;Placa de Vídeo RX 7600;Informática;11;1650.0;Maringá;PR;Cartão de Crédito;18150.0
100;2026-01-18T16:41:00;Gabriel Ferreira;Cooler Fan 120mm;Informática;6;45.0;Arapongas;PR;Boleto Bancário;270.0
101;2026-01-18T21:58:00;Bruna Fernandes;Filtro Linha 6 Tomadas;Informática;6;49.9;Arapongas;PR;Pix;299.4
102;2026-01-19T01:27:00;Maria Fernandes;Fonte Real 650W;Informática;4;380.0;Maringá;PR;Boleto Bancário;1520.0
103;2026-01-19T02:17:00;Diego Soares;Memória RAM 8GB DDR4;Informática;2;180.0;Maringá;PR;Pix;360.0
104;2026-01-19T09:29:00;Amanda Santos;Monitor 21.5 IPS;Informática;7;599.0;Londrina;PR;Boleto Bancário;4193.0
105;2026-01-19T14:26:00;Diego Santos;Teclado de Membrana;Informática;4;79.9;Arapongas;PR;Pix;319.6
106;2026-01-19T14:29:00;Amanda Pereira;Monitor 21.5 IPS;Informática;2;599.0;Londrina;PR;Cartão de Crédito;1198.0
107;2026-01-19T18:40:00;Enzo Alves;Mini PC Intel;Informática;12;1250.0;Ibiporã;PR;Boleto Bancário;15000.0
108;2026-01-19T22:03:00;Arthur Fernandes;Placa de Vídeo RTX 4060;Informática;6;2100.0;Maringá;PR;Cartão de Crédito;12600.0
109;2026-01-20T04:48:00;João Ferreira;Scanner de Mesa;Informática;6;650.0;Arapongas;PR;Boleto Bancário;3900.0
110;2026-01-20T05:49:00;Amanda Vieira;Placa de Vídeo RX 7600;Informática;5;1650.0;Apucarana;PR;Cartão de Crédito;8250.0
111;2026-01-20T10:38:00;João Souza;Processador AMD Ryzen 7;Informática;8;1780.0;Cambé;PR;Boleto Bancário;14240.0
112;2026-01-20T11:16:00;João Ferreira;Repetidor Wi-Fi;Informática;2;89.0;Arapongas;PR;Cartão de Crédito;178.0
113;2026-01-20T18:07:00;João Ribeiro;Memória RAM 32GB DDR5;Informática;1;750.0;Londrina;PR;Cartão de Crédito;750.0
114;2026-01-20T21:03:00;Rafael Soares;Memória RAM 32GB DDR5;Informática;7;750.0;Apucarana;PR;Boleto Bancário;5250.0
115;2026-01-20T21:59:00;Yasmin Costa;Notebook Gamer;Informática;2;5499.0;Cambé;PR;Boleto Bancário;10998.0
116;2026-01-20T22:18:00;Maria Fernandes;Gabinete Gamer ATX;Informática;1;320.0;Londrina;PR;Cartão de Crédito;320.0
117;2026-01-21T00:16:00;Arthur Lopes;Notebook Pro;Informática;3;6200.0;Londrina;PR;Pix;18600.0
118;2026-01-21T05:15:00;Arthur Alves;Memória RAM 16GB DDR4;Informática;8;320.0;Londrina;PR;Cartão de Crédito;2560.0
119;2026-01-21T08:28:00;Leonardo Santos;Adaptador Bluetooth USB;Informática;12;39.9;Arapongas;PR;Pix;478.8
120;2026-01-21T10:38:00;Vitor Oliveira;Processador AMD Ryzen 7;Informática;11;1780.0;Arapongas;PR;Cartão de Crédito;19580.0
121;2026-01-21T11:14:00;Yasmin Vieira;Teclado de Membrana;Informática;3;79.9;Apucarana;PR;Pix;239.7
122;2026-01-21T13:38:00;Gustavo Fernandes;Mousepad Extended;Informática;1;69.9;Cambé;PR;Boleto Bancário;69.9
123;2026-01-21T14:54:00;Yasmin Lopes;Notebook Home;Informática;11;2499.0;Apucarana;PR;Pix;27489.0
124;2026-01-21T15:01:00;Larissa Pereira;Webcam Full HD;Informática;8;210.0;Londrina;PR;Cartão de Crédito;1680.0
125;2026-01-21T16:28:00;Gabriel Almeida;Water Cooler 240mm;Informática;3;410.0;Arapongas;PR;Cartão de Crédito;1230.0
126;2026-01-21T16:47:00;Diego Alves;Notebook Pro;Informática;4;6200.0;Ibiporã;PR;Boleto Bancário;24800.0
127;2026-01-21T19:02:00;Vitor Oliveira;Processador AMD Ryzen 7;Informática;12;1780.0;Apucarana;PR;Pix;21360.0
128;2026-01-21T19:55:00;João Alves;Roteador Wi-Fi 6;Informática;6;320.0;Cambé;PR;Boleto Bancário;1920.0
129;2026-01-21T20:54:00;Beatriz Ferreira;Mouse Gamer RGB;Informática;5;149.9;Maringá;PR;Cartão de Crédito;749.5
130;2026-01-22T01:09:00;Enzo Lima;Mouse Gamer RGB;Informática;4;149.9;Londrina;PR;Pix;599.6
131;2026-01-22T02:27:00;Pedro Gomes;Placa de Vídeo RX 7600;Informática;9;1650.0;Apucarana;PR;Boleto Bancário;14850.0
132;2026-01-22T03:49:00;Bruno Lima;Fonte Real 650W;Informática;2;380.0;Maringá;PR;Boleto Bancário;760.0
133;2026-01-22T03:53:00;Felipe Silva;Fonte Real 750W;Informática;9;490.0;Ibiporã;PR;Cartão de Crédito;4410.0
134;2026-01-22T05:17:00;Vitor Lopes;Suporte Articulado;Informática;10;150.0;Arapongas;PR;Pix;1500.0
135;2026-01-22T09:35:00;Thiago Souza;SSD 2TB NVMe;Informática;4;820.0;Cambé;PR;Pix;3280.0
136;2026-01-22T15:54:00;Rodrigo Carvalho;Filtro Linha 6 Tomadas;Informática;6;49.9;Cambé;PR;Cartão de Crédito;299.4
137;2026-01-22T16:23:00;Daniel Barbosa;Scanner de Mesa;Informática;6;650.0;Cambé;PR;Boleto Bancário;3900.0
138;2026-01-22T18:01:00;Leonardo Alves;SSD 500GB NVMe;Informática;4;260.0;Arapongas;PR;Boleto Bancário;1040.0
139;2026-01-22T21:08:00;André Rodrigues;Mouse Sem Fio;Informática;8;89.9;Londrina;PR;Cartão de Crédito;719.2
140;2026-01-22T23:27:00;Larissa Almeida;Placa de Vídeo RX 7600;Informática;10;1650.0;Maringá;PR;Cartão de Crédito;16500.0
141;2026-01-22T23:57:00;Mateus Oliveira;Monitor 4K 32;Informática;1;2400.0;Apucarana;PR;Boleto Bancário;2400.0
142;2026-01-23T02:19:00;Enzo Vieira;HD Externo 1TB;Informática;6;299.0;Ibiporã;PR;Cartão de Crédito;1794.0
143;2026-01-23T05:27:00;Rodrigo Gomes;Mouse Gamer RGB;Informática;1;149.9;Maringá;PR;Boleto Bancário;149.9
144;2026-01-23T20:36:00;Thiago Rodrigues;Scanner de Mesa;Informática;2;650.0;Cambé;PR;Pix;1300.0
145;2026-01-23T21:54:00;Bruna Vieira;Placa-Mãe ASUS Prime;Informática;12;780.0;Ibiporã;PR;Pix;9360.0
146;2026-01-24T00:19:00;Julia Fernandes;Cabo de Rede CAT6 5m;Informática;6;25.0;Apucarana;PR;Pix;150.0
147;2026-01-24T09:20:00;Bruno Lima;Memória RAM 32GB DDR5;Informática;12;750.0;Arapongas;PR;Boleto Bancário;9000.0
148;2026-01-24T12:00:00;João Santos;Monitor Gamer 27 165Hz;Informática;6;1350.0;Maringá;PR;Boleto Bancário;8100.0
149;2026-01-24T12:32:00;Enzo Oliveira;Repetidor Wi-Fi;Informática;10;89.0;Apucarana;PR;Cartão de Crédito;890.0
150;2026-01-24T13:06:00;Diego Silva;Tablet Android 10;Informática;3;899.0;Arapongas;PR;Pix;2697.0
151;2026-01-24T16:41:00;Amanda Souza;Nobreak 1500VA;Informática;5;799.0;Maringá;PR;Cartão de Crédito;3995.0
152;2026-01-24T19:38:00;Felipe Pereira;Nobreak 1500VA;Informática;12;799.0;Cambé;PR;Pix;9588.0
153;2026-01-24T19:38:00;Leonardo Pereira;Cadeira Gamer;Informática;1;990.0;Maringá;PR;Boleto Bancário;990.0
154;2026-01-25T01:18:00;Letícia Santos;Mouse Gamer RGB;Informática;4;149.9;Ibiporã;PR;Boleto Bancário;599.6
155;2026-01-25T05:08:00;Guilherme Ribeiro;Memória RAM 8GB DDR4;Informática;3;180.0;Apucarana;PR;Boleto Bancário;540.0
156;2026-01-25T10:27:00;Letícia Carvalho;Placa-Mãe ASUS Prime;Informática;6;780.0;Apucarana;PR;Cartão de Crédito;4680.0
157;2026-01-25T16:09:00;Bruna Martins;Notebook Gamer;Informática;12;5499.0;Ibiporã;PR;Boleto Bancário;65988.0
158;2026-01-25T16:58:00;Amanda Rodrigues;Nobreak 1500VA;Informática;8;799.0;Londrina;PR;Pix;6392.0
159;2026-01-25T17:43:00;João Ferreira;HD Externo 2TB;Informática;12;449.0;Londrina;PR;Pix;5388.0
160;2026-01-25T23:47:00;Leonardo Vieira;Gabinete Gamer ATX;Informática;12;320.0;Londrina;PR;Cartão de Crédito;3840.0
161;2026-01-26T06:18:00;Arthur Soares;Headset Bluetooth;Informática;12;280.0;Arapongas;PR;Cartão de Crédito;3360.0
162;2026-01-26T06:40:00;Lucas Costa;Webcam Full HD;Informática;7;210.0;Apucarana;PR;Boleto Bancário;1470.0
163;2026-01-26T08:14:00;Julia Fernandes;Headset Bluetooth;Informática;8;280.0;Cambé;PR;Boleto Bancário;2240.0
164;2026-01-26T14:10:00;Vinícius Lopes;Suporte Articulado;Informática;4;150.0;Maringá;PR;Pix;600.0
165;2026-01-26T15:39:00;Julia Santos;Placa-Mãe ASUS Prime;Informática;5;780.0;Londrina;PR;Pix;3900.0
166;2026-01-26T22:41:00;Julia Gomes;Gabinete Gamer ATX;Informática;2;320.0;Apucarana;PR;Cartão de Crédito;640.0
167;2026-01-26T23:30:00;Enzo Soares;Headset Bluetooth;Informática;12;280.0;Londrina;PR;Boleto Bancário;3360.0
168;2026-01-27T18:47:00;Daniel Carvalho;Placa-Mãe MSI Gaming;Informática;10;890.0;Cambé;PR;Pix;8900.0
169;2026-01-27T22:54:00;Rafael Silva;Scanner de Mesa;Informática;7;650.0;Ibiporã;PR;Cartão de Crédito;4550.0
170;2026-01-28T07:27:00;Felipe Lima;Switch Gigabit 8 Portas;Informática;3;135.0;Londrina;PR;Cartão de Crédito;405.0
171;2026-01-28T10:15:00;João Lopes;Teclado Mecânico;Informática;4;249.9;Arapongas;PR;Boleto Bancário;999.6
172;2026-01-28T10:18:00;Letícia Ferreira;Repetidor Wi-Fi;Informática;12;89.0;Cambé;PR;Pix;1068.0
173;2026-01-28T11:54:00;Letícia Souza;Tablet Android 10;Informática;5;899.0;Maringá;PR;Cartão de Crédito;4495.0
174;2026-01-28T14:32:00;Ana Gomes;Placa de Vídeo RX 7600;Informática;10;1650.0;Cambé;PR;Pix;16500.0
175;2026-01-28T15:45:00;Vitor Ferreira;SSD 500GB NVMe;Informática;6;260.0;Londrina;PR;Pix;1560.0
176;2026-01-28T18:01:00;Enzo Santos;Placa-Mãe MSI Gaming;Informática;11;890.0;Ibiporã;PR;Boleto Bancário;9790.0
177;2026-01-29T01:51:00;Vitor Lima;Monitor Gamer 24 144Hz;Informática;2;980.0;Londrina;PR;Cartão de Crédito;1960.0
178;2026-01-29T06:01:00;Beatriz Costa;SSD 1TB NVMe;Informática;5;450.0;Londrina;PR;Pix;2250.0
179;2026-01-29T10:10:00;Larissa Santos;Memória RAM 16GB DDR4;Informática;7;320.0;Arapongas;PR;Pix;2240.0
180;2026-01-29T13:37:00;Amanda Pereira;Tablet Android 10;Informática;2;899.0;Ibiporã;PR;Boleto Bancário;1798.0
181;2026-01-29T18:07:00;Rafael Santos;Headset Bluetooth;Informática;6;280.0;Arapongas;PR;Pix;1680.0
182;2026-01-30T00:54:00;Guilherme Santos;SSD 2TB NVMe;Informática;1;820.0;Apucarana;PR;Pix;820.0
183;2026-01-30T05:19:00;Amanda Pereira;Monitor 21.5 IPS;Informática;4;599.0;Apucarana;PR;Boleto Bancário;2396.0
184;2026-01-30T08:11:00;Gustavo Fernandes;Placa de Vídeo RX 7600;Informática;12;1650.0;Ibiporã;PR;Cartão de Crédito;19800.0
185;2026-01-30T08:42:00;Bruna Pereira;Placa-Mãe MSI Gaming;Informática;6;890.0;Cambé;PR;Pix;5340.0
186;2026-01-30T14:07:00;Diego Silva;Suporte Articulado;Informática;4;150.0;Cambé;PR;Cartão de Crédito;600.0
187;2026-01-30T16:32:00;Amanda Costa;Headset Bluetooth;Informática;7;280.0;Cambé;PR;Boleto Bancário;1960.0
188;2026-01-30T18:12:00;Aline Santos;Monitor Gamer 24 144Hz;Informática;4;980.0;Arapongas;PR;Pix;3920.0
189;2026-01-30T20:41:00;Ana Souza;Placa-Mãe MSI Gaming;Informática;12;890.0;Londrina;PR;Boleto Bancário;10680.0
190;2026-01-30T21:13:00;Maria Souza;Adaptador Bluetooth USB;Informática;10;39.9;Ibiporã;PR;Boleto Bancário;399.0
191;2026-01-31T00:31:00;Gabriel Fernandes;SSD 500GB NVMe;Informática;8;260.0;Maringá;PR;Cartão de Crédito;2080.0
192;2026-01-31T04:06:00;Maria Lima;HD Externo 2TB;Informática;3;449.0;Londrina;PR;Pix;1347.0
193;2026-01-31T08:49:00;Bruno Rodrigues;Placa-Mãe MSI Gaming;Informática;7;890.0;Maringá;PR;Boleto Bancário;6230.0
194;2026-01-31T17:48:00;Enzo Lima;SSD 500GB NVMe;Informática;5;260.0;Apucarana;PR;Boleto Bancário;1300.0
195;2026-01-31T18:50:00;Bruna Martins;Placa-Mãe ASUS Prime;Informática;7;780.0;Cambé;PR;Pix;5460.0
196;2026-02-01T01:15:00;Bruna Fernandes;Repetidor Wi-Fi;Informática;5;89.0;Cambé;PR;Pix;445.0
197;2026-02-01T16:09:00;Daniel Barbosa;Processador Intel i7;Informática;10;1950.0;Cambé;PR;Boleto Bancário;19500.0
198;2026-02-01T23:57:00;Amanda Oliveira;Webcam Full HD;Informática;7;210.0;Maringá;PR;Cartão de Crédito;1470.0
199;2026-02-02T10:41:00;Diego Silva;Adaptador Bluetooth USB;Informática;10;39.9;Londrina;PR;Cartão de Crédito;399.0
200;2026-02-02T16:37:00;Thiago Ribeiro;Adaptador Bluetooth USB;Informática;2;39.9;Apucarana;PR;Boleto Bancário;79.8
201;2026-02-02T23:14:00;Guilherme Martins;Teclado de Membrana;Informática;5;79.9;Arapongas;PR;Boleto Bancário;399.5
202;2026-02-03T17:56:00;Aline Santos;Monitor Gamer 27 165Hz;Informática;10;1350.0;Arapongas;PR;Cartão de Crédito;13500.0
203;2026-02-03T19:56:00;Leonardo Almeida;SSD 2TB NVMe;Informática;7;820.0;Maringá;PR;Boleto Bancário;5740.0
204;2026-02-04T02:17:00;Bruno Rodrigues;Switch Gigabit 8 Portas;Informática;12;135.0;Arapongas;PR;Cartão de Crédito;1620.0
205;2026-02-04T02:28:00;Beatriz Lima;Caixa de Som PC;Informática;12;120.0;Maringá;PR;Cartão de Crédito;1440.0
206;2026-02-04T02:45:00;Rafael Almeida;Filtro Linha 6 Tomadas;Informática;5;49.9;Apucarana;PR;Cartão de Crédito;249.5
