id_venda;data;cliente;produto;categoria;quantidade;valor_unitario;cidade;estado;forma_pagamento
47;10/01/2026 09:58;Mateus Fernandes;Nobreak 1500VA;Informática;5;799.0;Ibiporã;PR;Cartão de Crédito
48;10/01/2026 20:12;Enzo Alves;Tablet Android 10;Informática;4;899.0;Cambé;PR;Boleto Bancário
49;11/01/2026 00:15;Letícia Pereira;Monitor Ultrawide 29;Informática;12;1150.0;Arapongas;PR;Pix
50;11/01/2026 01:02;Vitor Ferreira;Notebook Pro;Informática;4;6200.0;Arapongas;PR;Pix
51;11/01/2026 02:12;Lucas Santos;Memória RAM 16GB DDR4;Informática;8;320.0;Ibiporã;PR;Boleto Bancário
52;11/01/2026 07:13;Larissa Silva;Placa-Mãe ASUS Prime;Informática;1;780.0;Apucarana;PR;Pix
53;11/01/2026 07:45;Beatriz Ferreira;Memória RAM 32GB DDR5;Informática;10;750.0;Arapongas;PR;Pix
54;11/01/2026 09:50;Bruno Rodrigues;Roteador Wi-Fi 6;Informática;3;320.0;Arapongas;PR;Cartão de Crédito
55;11/01/2026 11:34;Diego Silva;Processador AMD Ryzen 7;Informática;2;1780.0;Londrina;PR;Pix
56;11/01/2026 13:01;Arthur Alves;HD Externo 2TB;Informática;1;449.0;Arapongas;PR;Boleto Bancário
57;11/01/2026 14:58;Vitor Barbosa;Cooler Fan 120mm;Informática;12;45.0;Cambé;PR;Pix
58;11/01/2026 23:28;Daniel Barbosa;Microfone Condensador;Informática;7;340.0;Londrina;PR;Boleto Bancário
59;11/01/2026 23:55;Gabriel Oliveira;Roteador Wi-Fi 6;Informática;10;320.0;Maringá;PR;Pix
60;12/01/2026 01:19;Diego Pereira;Placa-Mãe MSI Gaming;Informática;2;890.0;Cambé;PR;Cartão de Crédito
61;12/01/2026 01:35;Gabriel Oliveira;SSD 500GB NVMe;Informática;6;260.0;Arapongas;PR;Boleto Bancário
62;12/01/2026 12:03;André Costa;Notebook Gamer;Informática;11;5499.0;Ibiporã;PR;Boleto Bancário
63;12/01/2026 12:28;Diego Pereira;Placa-Mãe ASUS Prime;Informática;12;780.0;Arapongas;PR;Boleto Bancário
64;12/01/2026 13:23;Aline Barbosa;Fonte Real 750W;Informática;4;490.0;Londrina;PR;Pix
65;12/01/2026 18:41;Thiago Costa;Memória RAM 16GB DDR4;Informática;10;320.0;Cambé;PR;Cartão de Crédito
66;13/01/2026 07:47;Gustavo Martins;Mouse Sem Fio;Informática;12;89.9;Ibiporã;PR;Boleto Bancário
67;13/01/2026 11:41;Gabriel Fernandes;SSD 2TB NVMe;Informática;1;820.0;Ibiporã;PR;Cartão de Crédito
68;13/01/2026 19:47;Diego Lima;Impressora Tanque Tinta;Informática;3;1100.0;Arapongas;PR;Pix
69;13/01/2026 20:21;Maria Souza;Monitor 4K 32;Informática;12;2400.0;Apucarana;PR;Cartão de Crédito
70;14/01/2026 04:09;Gustavo Souza;Headset Gamer;Informática;12;199.9;Apucarana;PR;Boleto Bancário
71;14/01/2026 06:17;Diego Santos;Memória RAM 16GB DDR4;Informática;1;320.0;Apucarana;PR;Pix
72;14/01/2026 06:33;Diego Alves;Water Cooler 240mm;Informática;2;410.0;Apucarana;PR;Boleto Bancário
73;14/01/2026 12:32;Vitor Barbosa;Adaptador Bluetooth USB;Informática;2;39.9;Arapongas;PR;Pix
74;14/01/2026 20:41;Felipe Alves;Monitor Ultrawide 29;Informática;1;1150.0;Arapongas;PR;Boleto Bancário
75;15/01/2026 02:42;Mateus Santos;SSD 1TB NVMe;Informática;3;450.0;Apucarana;PR;Cartão de Crédito
76;15/01/2026 04:32;Lucas Silva;Adaptador Bluetooth USB;Informática;12;39.9;Londrina;PR;Cartão de Crédito
77;15/01/2026 11:32;Pedro Oliveira;Filtro Linha 6 Tomadas;Informática;1;49.9;Londrina;PR;Cartão de Crédito
78;15/01/2026 14:08;Gabriel Martins;Fonte Real 750W;Informática;8;490.0;Apucarana;PR;Pix
79;15/01/2026 17:26;Thiago Souza;SSD 500GB NVMe;Informática;1;260.0;Cambé;PR;Boleto Bancário
80;15/01/2026 17:29;Larissa Oliveira;Filtro Linha 6 Tomadas;Informática;7;49.9;Maringá;PR;Pix
81;16/01/2026 14:06;Julia Carvalho;Fonte Real 750W;Informática;12;490.0;Apucarana;PR;Pix
82;16/01/2026 17:57;Aline Santos;Placa-Mãe ASUS Prime;Informática;6;780.0;Londrina;PR;Boleto Bancário
83;16/01/2026 18:35;Vitor Ferreira;Mini PC Intel;Informática;3;1250.0;Maringá;PR;Boleto Bancário
84;16/01/2026 19:40;Leonardo Ferreira;Placa de Vídeo RTX 4060;Informática;2;2100.0;Arapongas;PR;Pix
85;16/01/2026 19:47;Diego Pereira;Cadeira Gamer;Informática;6;990.0;Londrina;PR;Boleto Bancário
86;16/01/2026 21:07;Diego Lima;Monitor 21.5 IPS;Informática;6;599.0;Maringá;PR;Pix
87;16/01/2026 22:08;Enzo Alves;Adaptador Bluetooth USB;Informática;12;39.9;Cambé;PR;Cartão de Crédito
88;17/01/2026 12:31;Mateus Santos;Monitor 21.5 IPS;Informática;10;599.0;Arapongas;PR;Cartão de Crédito
89;17/01/2026 15:28;Vitor Soares;Nobreak 1500VA;Informática;4;799.0;Maringá;PR;Cartão de Crédito
90;17/01/2026 17:34;Felipe Rodrigues;Webcam Full HD;Informática;4;210.0;Cambé;PR;Pix
91;17/01/2026 18:06;Enzo Oliveira;Notebook Gamer;Informática;1;5499.0;Apucarana;PR;Cartão de Crédito
92;17/01/2026 20:52;Mateus Carvalho;Suporte Articulado;Informática;7;150.0;Ibiporã;PR;Boleto Bancário
93;18/01/2026 03:38;Julia Gomes;Mouse Sem Fio;Informática;4;89.9;Cambé;PR;Cartão de Crédito
94;18/01/2026 07:40;Thiago Fernandes;Webcam Full HD;Informática;1;210.0;Maringá;PR;Boleto Bancário
95;18/01/2026 07:49;André Lima;Water Cooler 240mm;Informática;1;410.0;Maringá;PR;Boleto Bancário
96;18/01/2026 11:15;Daniel Barbosa;Webcam Full HD;Informática;6;210.0;Arapongas;PR;Boleto Bancário
97;18/01/2026 13:43;Bruna Silva;Placa-Mãe MSI Gaming;Informática;2;890.0;Cambé;PR;Cartão de Crédito
98;18/01/2026 15:02;Ana Gomes;Notebook Gamer;Informática;2;5499.0;Cambé;PR;Boleto Bancário
99;18/01/2026 16:34;Felipe Lima;Placa de Vídeo RX 7600;Informática;11;1650.0;Maringá;PR;Cartão de Crédito
100;18/01/2026 16:41;Gabriel Ferreira;Cooler Fan 120mm;Informática;6;45.0;Arapongas;PR;Boleto Bancário
101;18/01/2026 21:58;Bruna Fernandes;Filtro Linha 6 Tomadas;Informática;6;49.9;Arapongas;PR;Pix
102;19/01/2026 01:27;Maria Fernandes;Fonte Real 650W;Informática;4;380.0;Maringá;PR;Boleto Bancário
103;19/01/2026 02:17;Diego Soares;Memória RAM 8GB DDR4;Informática;2;180.0;Maringá;PR;Pix
104;19/01/2026 09:29;Amanda Santos;Monitor 21.5 IPS;Informática;7;599.0;Londrina;PR;Boleto Bancário
105;19/01/2026 14:26;Diego Santos;Teclado de Membrana;Informática;4;79.9;Arapongas;PR;Pix
106;19/01/2026 14:29;Amanda Pereira;Monitor 21.5 IPS;Informática;2;599.0;Londrina;PR;Cartão de Crédito
107;19/01/2026 18:40;Enzo Alves;Mini PC Intel;Informática;12;1250.0;Ibiporã;PR;Boleto Bancário
108;19/01/2026 22:03;Arthur Fernandes;Placa de Vídeo RTX 4060;Informática;6;2100.0;Maringá;PR;Cartão de Crédito
109;20/01/2026 04:48;João Ferreira;Scanner de Mesa;Informática;6;650.0;Arapongas;PR;Boleto Bancário
110;20/01/2026 05:49;Amanda Vieira;Placa de Vídeo RX 7600;Informática;5;1650.0;Apucarana;PR;Cartão de Crédito
111;20/01/2026 10:38;João Souza;Processador AMD Ryzen 7;Informática;8;1780.0;Cambé;PR;Boleto Bancário
112;20/01/2026 11:16;João Ferreira;Repetidor Wi-Fi;Informática;2;89.0;Arapongas;PR;Cartão de Crédito
113;20/01/2026 18:07;João Ribeiro;Memória RAM 32GB DDR5;Informática;1;750.0;Londrina;PR;Cartão de Crédito
114;20/01/2026 21:03;Rafael Soares;Memória RAM 32GB DDR5;Informática;7;750.0;Apucarana;PR;Boleto Bancário
115;20/01/2026 21:59;Yasmin Costa;Notebook Gamer;Informática;2;5499.0;Cambé;PR;Boleto Bancário
116;20/01/2026 22:18;Maria Fernandes;Gabinete Gamer ATX;Informática;1;320.0;Londrina;PR;Cartão de Crédito
117;21/01/2026 00:16;Arthur Lopes;Notebook Pro;Informática;3;6200.0;Londrina;PR;Pix
118;21/01/2026 05:15;Arthur Alves;Memória RAM 16GB DDR4;Informática;8;320.0;Londrina;PR;Cartão de Crédito
119;21/01/2026 08:28;Leonardo Santos;Adaptador Bluetooth USB;Informática;12;39.9;Arapongas;PR;Pix
120;21/01/2026 10:38;Vitor Oliveira;Processador AMD Ryzen 7;Informática;11;1780.0;Arapongas;PR;Cartão de Crédito
121;21/01/2026 11:14;Yasmin Vieira;Teclado de Membrana;Informática;3;79.9;Apucarana;PR;Pix
122;21/01/2026 13:38;Gustavo Fernandes;Mousepad Extended;Informática;1;69.9;Cambé;PR;Boleto Bancário
123;21/01/2026 14:54;Yasmin Lopes;Notebook Home;Informática;11;2499.0;Apucarana;PR;Pix
124;21/01/2026 15:01;Larissa Pereira;Webcam Full HD;Informática;8;210.0;Londrina;PR;Cartão de Crédito
125;21/01/2026 16:28;Gabriel Almeida;Water Cooler 240mm;Informática;3;410.0;Arapongas;PR;Cartão de Crédito
126;21/01/2026 16:47;Diego Alves;Notebook Pro;Informática;4;6200.0;Ibiporã;PR;Boleto Bancário
127;21/01/2026 19:02;Vitor Oliveira;Processador AMD Ryzen 7;Informática;12;1780.0;Apucarana;PR;Pix
128;21/01/2026 19:55;João Alves;Roteador Wi-Fi 6;Informática;6;320.0;Cambé;PR;Boleto Bancário
129;21/01/2026 20:54;Beatriz Ferreira;Mouse Gamer RGB;Informática;5;149.9;Maringá;PR;Cartão de Crédito
130;22/01/2026 01:09;Enzo Lima;Mouse Gamer RGB;Informática;4;149.9;Londrina;PR;Pix
131;22/01/2026 02:27;Pedro Gomes;Placa de Vídeo RX 7600;Informática;9;1650.0;Apucarana;PR;Boleto Bancário
132;22/01/2026 03:49;Bruno Lima;Fonte Real 650W;Informática;2;380.0;Maringá;PR;Boleto Bancário
133;22/01/2026 03:53;Felipe Silva;Fonte Real 750W;Informática;9;490.0;Ibiporã;PR;Cartão de Crédito
134;22/01/2026 05:17;Vitor Lopes;Suporte Articulado;Informática;10;150.0;Arapongas;PR;Pix
135;22/01/2026 09:35;Thiago Souza;SSD 2TB NVMe;Informática;4;820.0;Cambé;PR;Pix
136;22/01/2026 15:54;Rodrigo Carvalho;Filtro Linha 6 Tomadas;Informática;6;49.9;Cambé;PR;Cartão de Crédito
137;22/01/2026 16:23;Daniel Barbosa;Scanner de Mesa;Informática;6;650.0;Cambé;PR;Boleto Bancário
138;22/01/2026 18:01;Leonardo Alves;SSD 500GB NVMe;Informática;4;260.0;Arapongas;PR;Boleto Bancário
139;22/01/2026 21:08;André Rodrigues;Mouse Sem Fio;Informática;8;89.9;Londrina;PR;Cartão de Crédito
140;22/01/2026 23:27;Larissa Almeida;Placa de Vídeo RX 7600;Informática;10;1650.0;Maringá;PR;Cartão de Crédito
141;22/01/2026 23:57;Mateus Oliveira;Monitor 4K 32;Informática;1;2400.0;Apucarana;PR;Boleto Bancário
142;23/01/2026 02:19;Enzo Vieira;HD Externo 1TB;Informática;6;299.0;Ibiporã;PR;Cartão de Crédito
143;23/01/2026 05:27;Rodrigo Gomes;Mouse Gamer RGB;Informática;1;149.9;Maringá;PR;Boleto Bancário
144;23/01/2026 20:36;Thiago Rodrigues;Scanner de Mesa;Informática;2;650.0;Cambé;PR;Pix
145;23/01/2026 21:54;Bruna Vieira;Placa-Mãe ASUS Prime;Informática;12;780.0;Ibiporã;PR;Pix
146;24/01/2026 00:19;Julia Fernandes;Cabo de Rede CAT6 5m;Informática;6;25.0;Apucarana;PR;Pix
147;24/01/2026 09:20;Bruno Lima;Memória RAM 32GB DDR5;Informática;12;750.0;Arapongas;PR;Boleto Bancário
148;24/01/2026 12:00;João Santos;Monitor Gamer 27 165Hz;Informática;6;1350.0;Maringá;PR;Boleto Bancário
149;24/01/2026 12:32;Enzo Oliveira;Repetidor Wi-Fi;Informática;10;89.0;Apucarana;PR;Cartão de Crédito
150;24/01/2026 13:06;Diego Silva;Tablet Android 10;Informática;3;899.0;Arapongas;PR;Pix
151;24/01/2026 16:41;Amanda Souza;Nobreak 1500VA;Informática;5;799.0;Maringá;PR;Cartão de Crédito
152;24/01/2026 19:38;Felipe Pereira;Nobreak 1500VA;Informática;12;799.0;Cambé;PR;Pix
153;24/01/2026 19:38;Leonardo Pereira;Cadeira Gamer;Informática;1;990.0;Maringá;PR;Boleto Bancário
154;25/01/2026 01:18;Letícia Santos;Mouse Gamer RGB;Informática;4;149.9;Ibiporã;PR;Boleto Bancário
155;25/01/2026 05:08;Guilherme Ribeiro;Memória RAM 8GB DDR4;Informática;3;180.0;Apucarana;PR;Boleto Bancário
156;25/01/2026 10:27;Letícia Carvalho;Placa-Mãe ASUS Prime;Informática;6;780.0;Apucarana;PR;Cartão de Crédito
157;25/01/2026 16:09;Bruna Martins;Notebook Gamer;Informática;12;5499.0;Ibiporã;PR;Boleto Bancário
158;25/01/2026 16:58;Amanda Rodrigues;Nobreak 1500VA;Informática;8;799.0;Londrina;PR;Pix
159;25/01/2026 17:43;João Ferreira;HD Externo 2TB;Informática;12;449.0;Londrina;PR;Pix
160;25/01/2026 23:47;Leonardo Vieira;Gabinete Gamer ATX;Informática;12;320.0;Londrina;PR;Cartão de Crédito
161;26/01/2026 06:18;Arthur Soares;Headset Bluetooth;Informática;12;280.0;Arapongas;PR;Cartão de Crédito
162;26/01/2026 06:40;Lucas Costa;Webcam Full HD;Informática;7;210.0;Apucarana;PR;Boleto Bancário
163;26/01/2026 08:14;Julia Fernandes;Headset Bluetooth;Informática;8;280.0;Cambé;PR;Boleto Bancário
164;26/01/2026 14:10;Vinícius Lopes;Suporte Articulado;Informática;4;150.0;Maringá;PR;Pix
165;26/01/2026 15:39;Julia Santos;Placa-Mãe ASUS Prime;Informática;5;780.0;Londrina;PR;Pix
166;26/01/2026 22:41;Julia Gomes;Gabinete Gamer ATX;Informática;2;320.0;Apucarana;PR;Cartão de Crédito
167;26/01/2026 23:30;Enzo Soares;Headset Bluetooth;Informática;12;280.0;Londrina;PR;Boleto Bancário
168;27/01/2026 18:47;Daniel Carvalho;Placa-Mãe MSI Gaming;Informática;10;890.0;Cambé;PR;Pix
169;27/01/2026 22:54;Rafael Silva;Scanner de Mesa;Informática;7;650.0;Ibiporã;PR;Cartão de Crédito
170;28/01/2026 07:27;Felipe Lima;Switch Gigabit 8 Portas;Informática;3;135.0;Londrina;PR;Cartão de Crédito
171;28/01/2026 10:15;João Lopes;Teclado Mecânico;Informática;4;249.9;Arapongas;PR;Boleto Bancário
172;28/01/2026 10:18;Letícia Ferreira;Repetidor Wi-Fi;Informática;12;89.0;Cambé;PR;Pix
173;28/01/2026 11:54;Letícia Souza;Tablet Android 10;Informática;5;899.0;Maringá;PR;Cartão de Crédito
174;28/01/2026 14:32;Ana Gomes;Placa de Vídeo RX 7600;Informática;10;1650.0;Cambé;PR;Pix
175;28/01/2026 15:45;Vitor Ferreira;SSD 500GB NVMe;Informática;6;260.0;Londrina;PR;Pix
176;28/01/2026 18:01;Enzo Santos;Placa-Mãe MSI Gaming;Informática;11;890.0;Ibiporã;PR;Boleto Bancário
177;29/01/2026 01:51;Vitor Lima;Monitor Gamer 24 144Hz;Informática;2;980.0;Londrina;PR;Cartão de Crédito
178;29/01/2026 06:01;Beatriz Costa;SSD 1TB NVMe;Informática;5;450.0;Londrina;PR;Pix
179;29/01/2026 10:10;Larissa Santos;Memória RAM 16GB DDR4;Informática;7;320.0;Arapongas;PR;Pix
180;29/01/2026 13:37;Amanda Pereira;Tablet Android 10;Informática;2;899.0;Ibiporã;PR;Boleto Bancário
181;29/01/2026 18:07;Rafael Santos;Headset Bluetooth;Informática;6;280.0;Arapongas;PR;Pix
182;30/01/2026 00:54;Guilherme Santos;SSD 2TB NVMe;Informática;1;820.0;Apucarana;PR;Pix
183;30/01/2026 05:19;Amanda Pereira;Monitor 21.5 IPS;Informática;4;599.0;Apucarana;PR;Boleto Bancário
184;30/01/2026 08:11;Gustavo Fernandes;Placa de Vídeo RX 7600;Informática;12;1650.0;Ibiporã;PR;Cartão de Crédito
185;30/01/2026 08:42;Bruna Pereira;Placa-Mãe MSI Gaming;Informática;6;890.0;Cambé;PR;Pix
186;30/01/2026 14:07;Diego Silva;Suporte Articulado;Informática;4;150.0;Cambé;PR;Cartão de Crédito
187;30/01/2026 16:32;Amanda Costa;Headset Bluetooth;Informática;7;280.0;Cambé;PR;Boleto Bancário
188;30/01/2026 18:12;Aline Santos;Monitor Gamer 24 144Hz;Informática;4;980.0;Arapongas;PR;Pix
189;30/01/2026 20:41;Ana Souza;Placa-Mãe MSI Gaming;Informática;12;890.0;Londrina;PR;Boleto Bancário
190;30/01/2026 21:13;Maria Souza;Adaptador Bluetooth USB;Informática;10;39.9;Ibiporã;PR;Boleto Bancário
191;31/01/2026 00:31;Gabriel Fernandes;SSD 500GB NVMe;Informática;8;260.0;Maringá;PR;Cartão de Crédito
192;31/01/2026 04:06;Maria Lima;HD Externo 2TB;Informática;3;449.0;Londrina;PR;Pix
193;31/01/2026 08:49;Bruno Rodrigues;Placa-Mãe MSI Gaming;Informática;7;890.0;Maringá;PR;Boleto Bancário
194;31/01/2026 17:48;Enzo Lima;SSD 500GB NVMe;Informática;5;260.0;Apucarana;PR;Boleto Bancário
195;31/01/2026 18:50;Bruna Martins;Placa-Mãe ASUS Prime;Informática;7;780.0;Cambé;PR;Pix
196;01/02/2026 01:15;Bruna Fernandes;Repetidor Wi-Fi;Informática;5;89.0;Cambé;PR;Pix
197;01/02/2026 16:09;Daniel Barbosa;Processador Intel i7;Informática;10;1950.0;Cambé;PR;Boleto Bancário
198;01/02/2026 23:57;Amanda Oliveira;Webcam Full HD;Informática;7;210.0;Maringá;PR;Cartão de Crédito
199;02/02/2026 10:41;Diego Silva;Adaptador Bluetooth USB;Informática;10;39.9;Londrina;PR;Cartão de Crédito
200;02/02/2026 16:37;Thiago Ribeiro;Adaptador Bluetooth USB;Informática;2;39.9;Apucarana;PR;Boleto Bancário
201;02/02/2026 23:14;Guilherme Martins;Teclado de Membrana;Informática;5;79.9;Arapongas;PR;Boleto Bancário
202;03/02/2026 17:56;Aline Santos;Monitor Gamer 27 165Hz;Informática;10;1350.0;Arapongas;PR;Cartão de Crédito
203;03/02/2026 19:56;Leonardo Almeida;SSD 2TB NVMe;Informática;7;820.0;Maringá;PR;Boleto Bancário
204;04/02/2026 02:17;Bruno Rodrigues;Switch Gigabit 8 Portas;Informática;12;135.0;Arapongas;PR;Cartão de Crédito
205;04/02/2026 02:28;Beatriz Lima;Caixa de Som PC;Informática;12;120.0;Maringá;PR;Cartão de Crédito
206;04/02/2026 02:45;Rafael Almeida;Filtro Linha 6 Tomadas;Informática;5;49.9;Apucarana;PR;Cartão de Crédito
207;04/02/2026 06:52;Enzo Alves;Teclado Mecânico;Informática;5;249.9;Apucarana;PR;Pix
208;04/02/2026 08:46;Vinícius Lopes;Impressora Tanque Tinta;Informática;2;1100.0;Maringá;PR;Cartão de Crédito
209;04/02/2026 09:00;Daniel Souza;Mouse Sem Fio;Informática;8;89.9;Apucarana;PR;Pix
210;04/02/2026 09:20;Julia Carvalho;Nobreak 1500VA;Informática;10;799.0;Ibiporã;PR;Cartão de Crédito
211;04/02/2026 12:15;Arthur Lopes;HD Externo 1TB;Informática;4;299.0;Arapongas;PR;Boleto Bancário
212;04/02/2026 14:42;André Martins;Monitor Gamer 27 165Hz;Informática;9;1350.0;Apucarana;PR;Cartão de Crédito
213;04/02/2026 16:29;Bruno Lima;Monitor Ultrawide 29;Informática;2;1150.0;Apucarana;PR;Boleto Bancário
214;04/02/2026 20:46;João Souza;Monitor Ultrawide 29;Informática;3;1150.0;Cambé;PR;Boleto Bancário
215;05/02/2026 00:35;André Rodrigues;Processador AMD Ryzen 7;Informática;4;1780.0;Maringá;PR;Cartão de Crédito
216;05/02/2026 04:04;Julia Santos;Fonte Real 750W;Informática;8;490.0;Londrina;PR;Pix
217;05/02/2026 04:14;Rafael Soares;Scanner de Mesa;Informática;5;650.0;Apucarana;PR;Pix
218;05/02/2026 07:50;Ana Souza;Monitor Ultrawide 29;Informática;11;1150.0;Londrina;PR;Boleto Bancário
219;05/02/2026 16:23;Lucas Santos;Processador AMD Ryzen 7;Informática;6;1780.0;Arapongas;PR;Boleto Bancário
220;05/02/2026 18:24;Thiago Souza;Mousepad Extended;Informática;8;69.9;Cambé;PR;Boleto Bancário
221;05/02/2026 20:06;Gustavo Lopes;Teclado de Membrana;Informática;3;79.9;Apucarana;PR;Boleto Bancário
222;05/02/2026 22:21;André Lima;Impressora Tanque Tinta;Informática;5;1100.0;Londrina;PR;Pix
223;05/02/2026 22:30;Enzo Soares;Placa de Vídeo RX 7600;Informática;10;1650.0;Maringá;PR;Cartão de Crédito
224;05/02/2026 22:46;André Souza;Notebook Pro;Informática;11;6200.0;Maringá;PR;Pix
225;06/02/2026 02:03;Vitor Souza;Notebook Pro;Informática;9;6200.0;Londrina;PR;Boleto Bancário
226;06/02/2026 06:38;Rafael Almeida;Processador Intel i7;Informática;3;1950.0;Ibiporã;PR;Cartão de Crédito
227;06/02/2026 07:29;Diego Lima;Switch Gigabit 8 Portas;Informática;4;135.0;Apucarana;PR;Boleto Bancário
228;06/02/2026 11:19;Ana Lima;Mouse Sem Fio;Informática;12;89.9;Ibiporã;PR;Pix
229;06/02/2026 11:19;Arthur Pereira;Microfone Condensador;Informática;6;340.0;Arapongas;PR;Pix
230;06/02/2026 13:55;Diego Souza;HD Externo 2TB;Informática;5;449.0;Ibiporã;PR;Boleto Bancário
